<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,<a href='https://euroeval.com/datasets/slovene#sentinews'>sentinews</a>,<a href='https://euroeval.com/datasets/slovene#ssj500k-ner'>ssj500k_ner</a>,<a href='https://euroeval.com/datasets/slovene#scala-sl'>scala_sl</a>,<a href='https://euroeval.com/datasets/slovene#multi-wiki-qa-sl'>multi_wiki_qa_sl</a>,sentinews_version,ssj500k_ner_version,scala_sl_version,multi_wiki_qa_sl_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#thinking (zero-shot, val)</a>",🤔,1.30@@1.30,?,256128.0,1048576.0,✓,✗,56.20 ± 1.67 / 69.30 ± 1.04@@56.20,71.50 ± 3.28 / 61.38 ± 3.03@@71.50,64.71 ± 3.82 / 81.34 ± 2.03@@64.71,62.19 ± 0.95 / 42.19 ± 1.45@@62.19,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.33@@1.33,?,?,?,✓,✗,52.25 ± 2.38 / 66.79 ± 1.62@@52.25,70.92 ± 2.34 / 63.10 ± 2.38@@70.92,69.74 ± 2.78 / 83.84 ± 1.57@@69.74,59.50 ± 1.32 / 34.82 ± 2.14@@59.50,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,1.40@@1.40,?,100256.0,272000.0,✓,✗,50.72 ± 2.48 / 65.39 ± 1.79@@50.72,75.31 ± 2.09 / 62.49 ± 2.57@@75.31,59.76 ± 2.84 / 79.48 ± 1.38@@59.76,61.38 ± 1.11 / 39.62 ± 2.23@@61.38,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.42@@1.42,?,?,200000.0,✓,✗,50.59 ± 3.25 / 65.18 ± 2.31@@50.59,76.38 ± 1.80 / 68.68 ± 1.62@@76.38,58.28 ± 2.10 / 78.97 ± 1.04@@58.28,59.92 ± 1.26 / 34.27 ± 1.77@@59.92,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro'>gemini/gemini-2.5-pro (zero-shot, val)</a>",🤔,1.44@@1.44,?,256128.0,1048576.0,✓,✗,54.42 ± 2.53 / 67.87 ± 1.75@@54.42,65.72 ± 2.12 / 54.05 ± 2.52@@65.72,61.70 ± 2.27 / 80.22 ± 1.17@@61.70,56.50 ± 1.33 / 29.76 ± 1.68@@56.50,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.57@@1.57,?,256128.0,1048576.0,✓,✗,48.93 ± 2.06 / 64.06 ± 1.40@@48.93,65.62 ± 2.86 / 52.78 ± 2.36@@65.62,58.26 ± 2.73 / 78.80 ± 1.42@@58.26,59.83 ± 1.40 / 37.61 ± 2.26@@59.83,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#no-thinking (zero-shot, val)</a>",📝,1.58@@1.58,?,256128.0,1048576.0,✓,✗,48.90 ± 2.63 / 64.27 ± 1.99@@48.90,71.18 ± 2.99 / 51.82 ± 2.43@@71.18,51.77 ± 2.99 / 75.66 ± 1.55@@51.77,59.70 ± 1.49 / 36.42 ± 1.89@@59.70,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,1.58@@1.58,27432406640.0,262144.0,8192.0,✓,✗,49.04 ± 1.36 / 64.67 ± 0.91@@49.04,62.97 ± 0.94 / 59.65 ± 1.13@@62.97,48.42 ± 4.55 / 72.36 ± 4.25@@48.42,72.95 ± 2.55 / 54.88 ± 2.72@@72.95,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,1.62@@1.62,70553706496.0,128256.0,131072.0,✓,✗,49.78 ± 1.11 / 59.39 ± 1.85@@49.78,66.84 ± 1.04 / 61.15 ± 1.56@@66.84,41.00 ± 3.19 / 69.44 ± 1.92@@41.00,74.14 ± 1.89 / 56.36 ± 1.93@@74.14,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701
