<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,<a href='https://euroeval.com/datasets/spanish#sentiment-headlines-es'>sentiment_headlines_es</a>,<a href='https://euroeval.com/datasets/spanish#conll-es'>conll_es</a>,<a href='https://euroeval.com/datasets/spanish#scala-es'>scala_es</a>,<a href='https://euroeval.com/datasets/spanish#mlqa-es'>mlqa_es</a>,sentiment_headlines_es_version,conll_es_version,scala_es_version,mlqa_es_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.29@@1.29,?,256128.0,1048576.0,✓,✗,47.43 ± 2.04 / 59.38 ± 1.90@@47.43,79.88 ± 1.68 / 70.69 ± 2.04@@79.88,73.71 ± 4.52 / 86.14 ± 2.58@@73.71,60.66 ± 1.31 / 29.99 ± 1.06@@60.66,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.40@@1.40,?,256128.0,1048576.0,✓,✗,49.84 ± 2.24 / 62.60 ± 1.91@@49.84,72.91 ± 0.99 / 62.37 ± 1.86@@72.91,68.43 ± 4.22 / 83.33 ± 2.51@@68.43,57.33 ± 1.08 / 22.12 ± 1.20@@57.33,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.54@@1.54,?,256128.0,1048576.0,✓,✗,49.34 ± 2.43 / 59.78 ± 2.29@@49.34,74.76 ± 1.76 / 65.26 ± 2.12@@74.76,62.92 ± 3.09 / 78.19 ± 2.26@@62.92,57.33 ± 1.08 / 22.12 ± 1.20@@57.33,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Thinking-2507-FP8'>Qwen/Qwen3-235B-A22B-Thinking-2507-FP8</a>,🤔,1.64@@1.64,235107904512.0,151936.0,262144.0,✓,✗,50.50 ± 1.96 / 66.19 ± 1.27@@50.50,80.25 ± 0.97 / 75.68 ± 1.59@@80.25,47.39 ± 2.19 / 68.50 ± 1.74@@47.39,64.30 ± 0.47 / 38.83 ± 1.11@@64.30,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.70@@1.70,24261800960.0,131072.0,8192.0,✓,✗,52.43 ± 1.59 / 67.05 ± 1.24@@52.43,72.16 ± 1.32 / 67.44 ± 1.10@@72.16,42.29 ± 3.97 / 70.07 ± 2.75@@42.29,67.63 ± 1.08 / 42.77 ± 1.10@@67.63,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.71@@1.71,24011361280.0,131072.0,?,✓,✗,52.60 ± 1.24 / 67.77 ± 0.89@@52.60,73.78 ± 0.66 / 68.07 ± 1.10@@73.78,38.45 ± 4.03 / 67.93 ± 2.44@@38.45,68.58 ± 0.55 / 43.00 ± 1.67@@68.58,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,1.71@@1.71,32759790592.0,151665.0,131072.0,✓,✗,53.21 ± 1.43 / 67.24 ± 1.22@@53.21,75.82 ± 0.70 / 67.41 ± 1.73@@75.82,40.33 ± 2.27 / 64.75 ± 2.04@@40.33,67.52 ± 0.54 / 41.11 ± 0.91@@67.52,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.72@@1.72,?,?,400000.0,✓,✗,37.50 ± 2.81 / 47.35 ± 2.15@@37.50,70.23 ± 1.43 / 49.36 ± 1.92@@70.23,61.92 ± 3.89 / 80.64 ± 2.13@@61.92,64.86 ± 1.00 / 28.89 ± 0.94@@64.86,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/Qwen/Qwen3-Next-80B-A3B-Instruct'>Qwen/Qwen3-Next-80B-A3B-Instruct</a>,📝,1.74@@1.74,81324862720.0,151936.0,262144.0,✓,✗,51.80 ± 1.10 / 67.67 ± 0.72@@51.80,72.62 ± 0.79 / 63.44 ± 1.24@@72.62,45.14 ± 3.79 / 70.25 ± 3.13@@45.14,62.60 ± 0.45 / 34.97 ± 0.94@@62.60,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
