<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=11 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<span style='visibility: hidden;'>hidden</span>,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,<a href='https://euroeval.com/datasets/bosnian#mms-bs'>mms_bs</a>,<a href='https://euroeval.com/datasets/bosnian#wikiann-bs'>wikiann_bs</a>,<a href='https://euroeval.com/datasets/bosnian#multi-wiki-qa-bs'>multi_wiki_qa_bs</a>,<a href='https://euroeval.com/datasets/bosnian#lr-sum-bs'>lr_sum_bs</a>,mms_bs_version,wikiann_bs_version,multi_wiki_qa_bs_version,lr_sum_bs_version
<a href='https://hf.co/Unbabel/Tower-Plus-72B'>Unbabel/Tower-Plus-72B (val)</a>,📝,1.29@@1.29,72706203648.0,152064.0,32768.0,✗,✗,49.95 ± 3.70 / 65.36 ± 2.52@@49.95,73.94 ± 1.87 / 73.94 ± 1.87@@73.94,71.46 ± 1.19 / 42.66 ± 2.28@@71.46,31.70 ± 0.18 / 36.33 ± 0.22@@31.70,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,<9.2.0@@0
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct (val)</a>,📝,1.34@@1.34,11168796672.0,32128.0,32768.0,✓,✓,47.85 ± 0.92 / 64.21 ± 0.67@@47.85,68.90 ± 1.49 / 68.90 ± 1.49@@68.90,74.41 ± 0.72 / 49.06 ± 1.21@@74.41,32.58 ± 0.18 / 37.10 ± 0.22@@32.58,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.36@@1.36,24011361280.0,131072.0,8192.0,✓,✗,44.88 ± 1.81 / 62.90 ± 1.09@@44.88,71.70 ± 2.22 / 71.70 ± 2.22@@71.70,76.45 ± 1.89 / 53.39 ± 3.37@@76.45,31.09 ± 0.24 / 35.51 ± 0.47@@31.09,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.15.0.dev0@@161500
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.38@@1.38,?,?,200000.0,✓,✗,50.09 ± 2.19 / 64.17 ± 1.61@@50.09,76.94 ± 2.09 / 76.94 ± 2.09@@76.94,66.88 ± 1.08 / 34.99 ± 1.14@@66.88,28.09 ± 0.19 / 33.82 ± 0.21@@28.09,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.15.0.dev0@@161500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.39@@1.39,?,256128.0,1048576.0,✓,✗,51.37 ± 1.48 / 65.40 ± 1.06@@51.37,75.74 ± 1.83 / 75.74 ± 1.83@@75.74,66.05 ± 0.81 / 36.99 ± 1.36@@66.05,28.64 ± 0.29 / 33.51 ± 0.32@@28.64,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.15.0.dev0@@161500
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,1.42@@1.42,?,?,200000.0,✓,✗,45.22 ± 1.96 / 60.04 ± 1.58@@45.22,75.42 ± 1.75 / 75.42 ± 1.75@@75.42,68.81 ± 0.88 / 37.55 ± 1.06@@68.81,30.36 ± 0.21 / 35.29 ± 0.24@@30.36,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.15.0.dev0@@161500
"<a href='https://docs.x.ai/docs/models'>xai/grok-4-1-fast-reasoning (zero-shot, val)</a>",🤔,1.43@@1.43,?,?,131072.0,✓,✗,50.20 ± 0.85 / 62.33 ± 0.55@@50.20,74.27 ± 0.81 / 74.27 ± 0.81@@74.27,65.11 ± 0.55 / 37.96 ± 0.65@@65.11,28.33 ± 0.11 / 33.49 ± 0.11@@28.33,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#no-thinking (zero-shot, val)</a>",📝,1.43@@1.43,?,256128.0,1048576.0,✓,✗,52.69 ± 1.74 / 65.96 ± 1.12@@52.69,69.75 ± 2.06 / 69.75 ± 2.06@@69.75,66.00 ± 1.27 / 32.18 ± 2.04@@66.00,30.14 ± 0.24 / 35.59 ± 0.27@@30.14,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.15.0.dev0@@161500
"<a href='https://platform.openai.com/docs/models/gpt-5.4'>openai/gpt-5.4-2026-03-05#none (zero-shot, val)</a>",🤔,1.44@@1.44,?,?,1050000.0,✓,✗,49.08 ± 1.13 / 64.17 ± 0.85@@49.08,77.64 ± 0.87 / 77.64 ± 0.87@@77.64,64.87 ± 0.54 / 34.79 ± 1.11@@64.87,27.33 ± 0.14 / 33.04 ± 0.15@@27.33,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,1.44@@1.44,24011361280.0,131072.0,8192.0,✓,✗,44.39 ± 1.47 / 62.72 ± 0.96@@44.39,69.54 ± 1.82 / 69.54 ± 1.82@@69.54,72.46 ± 1.90 / 46.08 ± 2.95@@72.46,31.94 ± 0.14 / 36.47 ± 0.32@@31.94,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.15.0.dev0@@161500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.46@@1.46,?,256128.0,1048576.0,✓,✗,52.05 ± 2.28 / 66.23 ± 1.38@@52.05,76.48 ± 1.87 / 76.48 ± 1.87@@76.48,64.09 ± 1.01 / 29.32 ± 1.31@@64.09,25.04 ± 0.23 / 31.04 ± 0.25@@25.04,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.15.0.dev0@@161500
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.46@@1.46,24261800960.0,131072.0,8192.0,✓,✗,41.16 ± 2.36 / 59.97 ± 2.16@@41.16,70.20 ± 2.26 / 70.20 ± 2.26@@70.20,73.56 ± 2.03 / 52.61 ± 3.77@@73.56,31.36 ± 0.93 / 35.16 ± 1.38@@31.36,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.15.0.dev0@@161500
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.47@@1.47,?,?,?,✓,✗,51.12 ± 1.57 / 65.31 ± 1.23@@51.12,74.84 ± 2.12 / 74.84 ± 2.12@@74.84,64.86 ± 1.13 / 29.61 ± 1.62@@64.86,27.26 ± 0.34 / 33.35 ± 0.37@@27.26,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.15.0.dev0@@161500
<a href='https://hf.co/Unbabel/Tower-Plus-9B'>Unbabel/Tower-Plus-9B (val)</a>,📝,1.48@@1.48,9241705984.0,256000.0,8192.0,✗,✗,49.77 ± 3.09 / 64.43 ± 1.85@@49.77,64.34 ± 2.43 / 64.34 ± 2.43@@64.34,69.74 ± 1.38 / 42.29 ± 2.50@@69.74,30.52 ± 0.13 / 35.59 ± 0.16@@30.52,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,<9.2.0@@0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (zero-shot, val)</a>",🤔,1.48@@1.48,?,256128.0,1048576.0,✓,✗,49.31 ± 1.20 / 64.64 ± 0.80@@49.31,74.98 ± 1.08 / 74.98 ± 1.08@@74.98,64.68 ± 0.38 / 32.45 ± 0.63@@64.68,26.90 ± 0.18 / 32.76 ± 0.20@@26.90,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.49@@1.49,?,256128.0,1048576.0,✓,✗,50.05 ± 3.08 / 63.46 ± 2.02@@50.05,73.66 ± 1.68 / 73.66 ± 1.68@@73.66,61.45 ± 0.94 / 23.09 ± 1.60@@61.45,28.02 ± 0.20 / 32.97 ± 0.21@@28.02,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.15.0.dev0@@161500
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking</a>,📝,1.49@@1.49,14768307200.0,151936.0,40960.0,✓,✗,41.72 ± 1.46 / 60.95 ± 1.08@@41.72,69.01 ± 1.53 / 69.01 ± 1.53@@69.01,71.74 ± 1.43 / 47.37 ± 1.84@@71.74,30.93 ± 0.07 / 35.38 ± 0.14@@30.93,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.15.0.dev0@@161500
