<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,<a href='https://euroeval.com/datasets/german#sb10k'>sb10k</a>,<a href='https://euroeval.com/datasets/german#germeval'>germeval</a>,<a href='https://euroeval.com/datasets/german#scala-de'>scala_de</a>,<a href='https://euroeval.com/datasets/german#germanquad'>germanquad</a>,sb10k_version,germeval_version,scala_de_version,germanquad_version
<a href='https://hf.co/deepset/gbert-large'>deepset/gbert-large</a>,🔍,1.19@@1.19,336820608.0,31102.0,512.0,✓,✗,65.12 ± 1.34 / 76.67 ± 0.90@@65.12,80.30 ± 0.94 / 79.06 ± 1.05@@80.30,75.12 ± 1.07 / 87.22 ± 0.63@@75.12,56.61 ± 1.98 / 28.91 ± 1.58@@56.61,12.8.0@@120800,12.8.0@@120800,12.8.0@@120800,12.7.0@@120700
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,1.33@@1.33,70553706496.0,128256.0,131072.0,✓,✗,58.76 ± 2.51 / 70.76 ± 2.55@@58.76,70.94 ± 1.05 / 63.71 ± 1.63@@70.94,66.08 ± 1.36 / 82.72 ± 0.83@@66.08,68.12 ± 3.42 / 39.20 ± 2.39@@68.12,16.5.0.dev0@@160500,15.7.2.dev0@@150702,16.5.0.dev0@@160500,15.7.2.dev0@@150702
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,1.40@@1.40,24011361280.0,131072.0,8192.0,✓,✗,57.03 ± 2.72 / 70.55 ± 1.80@@57.03,68.91 ± 1.53 / 62.62 ± 2.13@@68.91,64.74 ± 1.43 / 81.81 ± 1.05@@64.74,68.95 ± 3.37 / 39.28 ± 2.85@@68.95,16.5.0.dev0@@160500,15.9.1.dev0@@150901,16.5.0.dev0@@160500,15.9.1.dev0@@150901
<a href='https://hf.co/google/rembert'>google/rembert</a>,🔍,1.41@@1.41,575922690.0,250300.0,512.0,✓,✗,60.65 ± 2.10 / 73.52 ± 1.58@@60.65,77.62 ± 0.80 / 76.16 ± 0.79@@77.62,62.60 ± 2.16 / 81.12 ± 1.14@@62.60,60.41 ± 1.36 / 33.62 ± 1.34@@60.41,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (val)</a>,📝,1.45@@1.45,31273088876.0,262144.0,8192.0,✓,✗,57.91 ± 1.23 / 69.87 ± 0.85@@57.91,75.25 ± 1.06 / 67.23 ± 1.09@@75.25,68.08 ± 1.44 / 83.92 ± 0.74@@68.08,54.18 ± 1.14 / 26.65 ± 1.55@@54.18,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.47@@1.47,?,256128.0,1048576.0,✓,✗,57.45 ± 2.72 / 70.00 ± 1.97@@57.45,66.89 ± 1.82 / 54.54 ± 1.49@@66.89,74.00 ± 2.54 / 86.95 ± 1.28@@74.00,56.11 ± 1.56 / 30.85 ± 1.84@@56.11,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot, val)</a>",🤔,1.47@@1.47,?,?,400000.0,✓,✗,55.52 ± 1.21 / 67.24 ± 0.90@@55.52,77.95 ± 0.99 / 59.27 ± 1.31@@77.95,72.72 ± 0.85 / 86.21 ± 0.43@@72.72,49.38 ± 0.85 / 26.46 ± 0.97@@49.38,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://hf.co/mistralai/Ministral-3-14B-Base-2512'>mistralai/Ministral-3-14B-Base-2512 (val)</a>,🧠,1.49@@1.49,13945031680.0,131072.0,8192.0,✓,✗,56.46 ± 1.80 / 70.15 ± 1.33@@56.46,66.88 ± 1.31 / 62.60 ± 0.95@@66.88,60.16 ± 2.01 / 79.35 ± 1.24@@60.16,69.42 ± 1.65 / 38.50 ± 1.24@@69.42,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.51@@1.51,24011361280.0,131072.0,?,✓,✗,62.28 ± 2.60 / 74.66 ± 1.78@@62.28,70.67 ± 0.85 / 62.27 ± 1.84@@70.67,52.14 ± 2.19 / 74.69 ± 1.50@@52.14,64.85 ± 3.12 / 36.71 ± 2.65@@64.85,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
