<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,,,
Model,Type,Rank,"<a href=""https://euroeval.com/tasks/european-values"">European Values</a>",Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,Danish,Norwegian,Swedish
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.18@@1.18,0.91,?,256128.0,1048576.0,✓,✗,✗,✓,1.15@@1.15,1.19@@1.19,1.19@@1.19
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (val)</a>,📝,1.24@@1.24,27.34,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,1.16@@1.16,1.33@@1.33,1.22@@1.22
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.26@@1.26,?,?,?,?,✓,✗,✗,✓,1.20@@1.20,1.39@@1.39,1.18@@1.18
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.29@@1.29,14.14,?,256128.0,1048576.0,✓,✗,✗,✓,1.24@@1.24,1.33@@1.33,1.29@@1.29
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.31@@1.31,79.36,?,256128.0,1048576.0,✓,✗,✗,✓,1.18@@1.18,1.37@@1.37,1.37@@1.37
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot, val)</a>",🤔,1.33@@1.33,23.08,?,?,400000.0,✓,✗,✗,✓,1.26@@1.26,1.38@@1.38,1.34@@1.34
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium (zero-shot, val)</a>",🤔,1.36@@1.36,20.41,?,?,400000.0,✓,✗,✗,✓,1.30@@1.30,1.40@@1.40,1.38@@1.38
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-6 (zero-shot, val)</a>",🤔,1.36@@1.36,96.09,?,?,?,✓,✗,✗,✓,1.29@@1.29,1.49@@1.49,1.31@@1.31
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (zero-shot, val)</a>",🤔,1.37@@1.37,82.21,?,256128.0,1048576.0,✓,✗,✗,✓,1.26@@1.26,1.45@@1.45,1.40@@1.40
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,1.38@@1.38,10.93,?,?,200000.0,✓,✗,✗,✓,1.24@@1.24,1.54@@1.54,1.36@@1.36
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low (zero-shot, val)</a>",🤔,1.42@@1.42,44.38,?,?,400000.0,✓,✗,✗,✓,1.36@@1.36,1.46@@1.46,1.43@@1.43
<a href='https://hf.co/google/gemma-4-26B-A4B-it'>google/gemma-4-26B-A4B-it (val)</a>,📝,1.43@@1.43,8.22,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,1.39@@1.39,1.52@@1.52,1.39@@1.39
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.45@@1.45,92.75,?,?,1047576.0,✓,✗,✗,✓,1.33@@1.33,1.56@@1.56,1.46@@1.46
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.47@@1.47,76.92,?,?,400000.0,✓,✗,✗,✓,1.31@@1.31,1.66@@1.66,1.45@@1.45
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,1.47@@1.47,62.43,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,1.34@@1.34,1.65@@1.65,1.41@@1.41
<a href='https://hf.co/Unbabel/Tower-Plus-72B'>Unbabel/Tower-Plus-72B (val)</a>,📝,1.49@@1.49,31.84,72706203648.0,152064.0,32768.0,✗,✗,(✓),✗,1.36@@1.36,1.69@@1.69,1.42@@1.42
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,1.49@@1.49,?,24011361280.0,131072.0,?,✓,✗,(✓),✓,1.36@@1.36,1.72@@1.72,1.38@@1.38
"<a href='https://docs.x.ai/docs/models'>xai/grok-4-1-fast-reasoning (zero-shot, val)</a>",🤔,1.51@@1.51,19.24,?,?,131072.0,✓,✗,✗,✓,1.43@@1.43,1.66@@1.66,1.46@@1.46
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it</a>,📝,1.53@@1.53,32.12,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,1.40@@1.40,1.66@@1.66,1.55@@1.55
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.54@@1.54,?,24011361280.0,131072.0,?,✓,✗,(✓),✓,1.41@@1.41,1.72@@1.72,1.48@@1.48
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,1.54@@1.54,?,?,100256.0,272000.0,✓,✗,✗,✓,1.51@@1.51,1.60@@1.60,1.51@@1.51
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,1.54@@1.54,68.64,32759790592.0,151665.0,131072.0,✓,✗,(✓),✗,1.40@@1.40,1.79@@1.79,1.44@@1.44
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.57@@1.57,?,24261800960.0,131072.0,8192.0,✓,✗,(✓),✓,1.42@@1.42,1.78@@1.78,1.51@@1.51
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.60@@1.60,?,?,256128.0,1048576.0,✓,✗,✗,✓,1.54@@1.54,1.67@@1.67,1.60@@1.60
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,1.62@@1.62,26.19,32762123264.0,151936.0,40960.0,✓,✗,✗,✓,1.46@@1.46,1.83@@1.83,1.56@@1.56
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#none (zero-shot, val)</a>",🤔,1.64@@1.64,79.91,?,?,400000.0,✓,✗,✗,✓,1.47@@1.47,1.72@@1.72,1.73@@1.73
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,1.66@@1.66,N/A,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,1.61@@1.61,1.70@@1.70,1.68@@1.68
<a href='https://hf.co/google/gemma-3-12b-it'>google/gemma-3-12b-it</a>,📝,1.66@@1.66,24.15,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,1.49@@1.49,1.83@@1.83,1.66@@1.66
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,1.68@@1.68,N/A,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,1.66@@1.66,1.76@@1.76,1.62@@1.62
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-haiku-4-5-20251001 (zero-shot, val)</a>",🤔,1.71@@1.71,82.27,?,?,200000.0,✓,✗,✗,✓,1.52@@1.52,1.98@@1.98,1.62@@1.62
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,1.71@@1.71,N/A,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,1.59@@1.59,1.89@@1.89,1.65@@1.65
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B</a>,📝,1.72@@1.72,38.22,14765947904.0,151665.0,131072.0,✓,✗,(✓),✗,1.59@@1.59,1.92@@1.92,1.63@@1.63
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,1.72@@1.72,?,?,100256.0,272000.0,✓,✗,✗,✓,1.66@@1.66,1.80@@1.80,1.72@@1.72
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking</a>,📝,1.74@@1.74,21.84,14768307200.0,151936.0,40960.0,✓,✗,✗,✓,1.59@@1.59,1.96@@1.96,1.68@@1.68
<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507</a>,📝,1.75@@1.75,2.76,30532122624.0,151936.0,262144.0,✓,✗,✗,✓,1.62@@1.62,1.98@@1.98,1.64@@1.64
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#no-thinking (zero-shot, val)</a>",📝,1.78@@1.78,41.43,?,256128.0,1048576.0,✓,✗,✗,✓,1.73@@1.73,1.92@@1.92,1.69@@1.69
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#high (zero-shot, val)</a>",🤔,1.79@@1.79,47.54,?,?,400000.0,✓,✗,✗,✓,1.71@@1.71,1.86@@1.86,1.79@@1.79
<a href='https://hf.co/mistralai/Ministral-3-14B-Base-2512'>mistralai/Ministral-3-14B-Base-2512 (val)</a>,🧠,1.81@@1.81,N/A,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,1.75@@1.75,1.97@@1.97,1.73@@1.73
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#medium (zero-shot, val)</a>",🤔,1.81@@1.81,49.32,?,?,400000.0,✓,✗,✗,✓,1.78@@1.78,1.89@@1.89,1.77@@1.77
<a href='https://hf.co/Qwen/Qwen3.5-9B'>Qwen/Qwen3.5-9B (val)</a>,🤔,1.82@@1.82,?,9653100528.0,248044.0,8192.0,✓,✗,(✓),✓,1.75@@1.75,2.01@@2.01,1.69@@1.69
<a href='https://hf.co/NbAiLab/borealis-27b-instruct-preview'>NbAiLab/borealis-27b-instruct-preview (val)</a>,📝,1.82@@1.82,54.29,28842036848.0,262144.0,8192.0,✓,✗,(✓),✗,1.74@@1.74,1.81@@1.81,1.90@@1.90
<a href='https://hf.co/swiss-ai/Apertus-70B-Instruct-2509'>swiss-ai/Apertus-70B-Instruct-2509</a>,📝,1.86@@1.86,13.83,70599864480.0,131072.0,65536.0,✗,✗,(✓),✗,1.70@@1.70,1.99@@1.99,1.89@@1.89
<a href='https://hf.co/NbAiLab/borealis-12b-instruct-preview'>NbAiLab/borealis-12b-instruct-preview (val)</a>,📝,1.87@@1.87,12.72,13194203760.0,262144.0,8192.0,✓,✗,(✓),✗,1.78@@1.78,1.95@@1.95,1.89@@1.89
<a href='https://hf.co/mistralai/Ministral-3-14B-Instruct-2512'>mistralai/Ministral-3-14B-Instruct-2512 (val)</a>,📝,1.87@@1.87,44.35,12163481600.0,131072.0,8192.0,✓,✗,(✓),✓,1.76@@1.76,2.01@@2.01,1.85@@1.85
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#medium</a>,🤔,1.88@@1.88,6.79,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,1.82@@1.82,2.11@@2.11,1.72@@1.72
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#low (zero-shot, val)</a>",🤔,1.88@@1.88,70.05,?,?,400000.0,✓,✗,✗,✓,1.78@@1.78,2.01@@2.01,1.85@@1.85
<a href='https://hf.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt</a>,🧠,1.89@@1.89,N/A,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,1.83@@1.83,1.94@@1.94,1.90@@1.90
<a href='https://hf.co/mistralai/Ministral-3-8B-Instruct-2512'>mistralai/Ministral-3-8B-Instruct-2512 (val)</a>,📝,1.89@@1.89,82.05,7415529472.0,131072.0,8192.0,✓,✗,(✓),✓,1.79@@1.79,2.07@@2.07,1.82@@1.82
<a href='https://hf.co/Qwen/Qwen3-4B-Thinking-2507'>Qwen/Qwen3-4B-Thinking-2507</a>,🤔,1.90@@1.90,21.45,4022468096.0,151936.0,262144.0,✓,✗,✗,✓,1.80@@1.80,2.15@@2.15,1.75@@1.75
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16 (val)</a>,🤔,1.90@@1.90,?,31577934400.0,131072.0,262144.0,✓,✗,✗,✓,1.76@@1.76,2.17@@2.17,1.76@@1.76
<a href='https://hf.co/google/gemma-3n-E4B-it'>google/gemma-3n-E4B-it</a>,📝,1.91@@1.91,11.3,7849978192.0,262400.0,8192.0,✓,✗,(✓),✓,1.69@@1.69,2.10@@2.10,1.92@@1.92
<a href='https://hf.co/google/gemma-4-E4B-it'>google/gemma-4-E4B-it (val)</a>,📝,1.94@@1.94,0.36,7996157418.0,262144.0,8192.0,✓,✗,(✓),✓,1.83@@1.83,2.06@@2.06,1.95@@1.95
<a href='https://hf.co/mistralai/Ministral-3-8B-Base-2512'>mistralai/Ministral-3-8B-Base-2512 (val)</a>,🧠,1.95@@1.95,N/A,8918026240.0,131072.0,8192.0,✓,✗,(✓),✓,1.86@@1.86,2.07@@2.07,1.92@@1.92
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-2512'>utter-project/EuroLLM-22B-Instruct-2512</a>,📝,1.95@@1.95,18.03,22637328384.0,128000.0,32768.0,✓,✗,(✓),✓,1.78@@1.78,2.11@@2.11,1.97@@1.97
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8 (val)</a>,🤔,1.96@@1.96,40.34,30491811840.0,131072.0,262144.0,✓,✗,✗,✓,1.81@@1.81,2.24@@2.24,1.83@@1.83
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B#no-thinking</a>,📝,1.96@@1.96,18.79,8190735360.0,151936.0,40960.0,✓,✗,✗,✓,1.82@@1.82,2.16@@2.16,1.90@@1.90
<a href='https://hf.co/Unbabel/Tower-Plus-9B'>Unbabel/Tower-Plus-9B (val)</a>,📝,1.97@@1.97,7.47,9241705984.0,256000.0,8192.0,✗,✗,(✓),✗,1.85@@1.85,2.08@@2.08,1.99@@1.99
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct (val)</a>,📝,1.97@@1.97,39.79,11168796672.0,32128.0,32768.0,✓,✓,(✓),✓,1.82@@1.82,2.15@@2.15,1.94@@1.94
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#low</a>,🤔,1.98@@1.98,24.5,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,1.89@@1.89,2.25@@2.25,1.80@@1.80
