<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=12 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=13 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,
model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,<a href='https://euroeval.com/datasets/finnish#scandisent-fi'>scandisent_fi</a>,<a href='https://euroeval.com/datasets/finnish#turku-ner-fi'>turku_ner_fi</a>,<a href='https://euroeval.com/datasets/finnish#scala-fi'>scala_fi</a>,<a href='https://euroeval.com/datasets/finnish#tydiqa-fi'>tydiqa_fi</a>,<a href='https://euroeval.com/datasets/finnish#xlsum-fi'>xlsum_fi</a>,<a href='https://euroeval.com/datasets/finnish#hellaswag-fi'>hellaswag_fi</a>,scandisent_fi_version,turku_ner_fi_version,scala_fi_version,tydiqa_fi_version,xlsum_fi_version,hellaswag_fi_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.42@@1.42,?,?,?,✓,✗,90.25 ± 1.13 / 94.98 ± 0.58@@90.25,63.81 ± 2.27 / 47.97 ± 2.39@@63.81,62.11 ± 2.92 / 80.41 ± 1.48@@62.11,59.81 ± 0.73 / 36.69 ± 1.31@@59.81,63.92 ± 0.14 / 9.19 ± 0.19@@63.92,86.54 ± 1.66 / 89.96 ± 1.24@@86.54,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07#high (zero-shot, val)</a>",🤔,1.44@@1.44,?,100256.0,272000.0,✓,✗,89.23 ± 1.39 / 94.43 ± 0.72@@89.23,76.97 ± 1.87 / 59.31 ± 2.23@@76.97,48.12 ± 2.45 / 73.36 ± 1.45@@48.12,62.84 ± 0.70 / 45.44 ± 0.78@@62.84,63.04 ± 0.12 / 7.82 ± 0.19@@63.04,87.45 ± 1.14 / 90.62 ± 0.85@@87.45,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,1.47@@1.47,?,100256.0,272000.0,✓,✗,89.23 ± 1.39 / 94.43 ± 0.72@@89.23,76.54 ± 1.54 / 59.13 ± 1.41@@76.54,46.59 ± 2.38 / 72.07 ± 1.32@@46.59,62.18 ± 0.89 / 45.45 ± 1.22@@62.18,63.07 ± 0.15 / 7.88 ± 0.21@@63.07,83.19 ± 0.85 / 87.38 ± 0.65@@83.19,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500
<a href='https://hf.co/meta-llama/Llama-3.1-405B'>meta-llama/Llama-3.1-405B</a>,🧠,1.51@@1.51,405853388800.0,128256.0,131072.0,✓,✗,93.31 ± 0.63 / 96.64 ± 0.33@@93.31,71.28 ± 4.26 / 60.71 ± 3.16@@71.28,43.72 ± 3.52 / 68.49 ± 2.96@@43.72,74.13 ± 2.17 / 57.17 ± 3.68@@74.13,66.36 ± 0.31 / 19.26 ± 0.60@@66.36,54.94 ± 2.14 / 65.15 ± 1.76@@54.94,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/LumiOpen/Llama-Poro-2-70B-base'>LumiOpen/Llama-Poro-2-70B-base</a>,🧠,1.55@@1.55,70553706496.0,128256.0,8192.0,✓,✗,93.18 ± 0.68 / 96.56 ± 0.36@@93.18,74.27 ± 1.37 / 58.78 ± 4.26@@74.27,44.16 ± 2.15 / 71.59 ± 1.27@@44.16,76.52 ± 1.76 / 59.75 ± 2.10@@76.52,66.14 ± 0.72 / 15.92 ± 1.08@@66.14,40.67 ± 1.82 / 53.10 ± 1.53@@40.67,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro'>gemini/gemini-2.5-pro (zero-shot, val)</a>",🤔,1.55@@1.55,?,256128.0,1048576.0,✓,✗,88.28 ± 1.22 / 93.91 ± 0.64@@88.28,62.62 ± 1.96 / 44.31 ± 2.46@@62.62,53.35 ± 2.48 / 75.99 ± 1.28@@53.35,58.40 ± 0.78 / 28.18 ± 1.09@@58.40,63.81 ± 0.15 / 9.37 ± 0.18@@63.81,86.42 ± 1.03 / 89.77 ± 0.76@@86.42,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
<a href='https://hf.co/LumiOpen/Llama-Poro-2-70B-SFT'>LumiOpen/Llama-Poro-2-70B-SFT</a>,📝,1.56@@1.56,70553706496.0,128256.0,8192.0,✓,✗,93.25 ± 0.65 / 96.60 ± 0.34@@93.25,68.97 ± 1.83 / 44.41 ± 3.35@@68.97,45.60 ± 2.20 / 71.84 ± 1.60@@45.60,65.59 ± 1.53 / 46.24 ± 2.04@@65.59,66.51 ± 0.17 / 15.80 ± 0.34@@66.51,61.13 ± 0.97 / 70.54 ± 0.77@@61.13,15.11.0.dev0@@151100,15.11.0.dev0@@151100,15.11.0.dev0@@151100,15.11.0.dev0@@151100,15.11.0.dev0@@151100,15.11.0.dev0@@151100
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,1.58@@1.58,24011361280.0,131072.0,?,✓,✗,92.17 ± 0.76 / 96.04 ± 0.40@@92.17,70.37 ± 1.35 / 55.35 ± 1.80@@70.37,38.28 ± 1.44 / 68.88 ± 0.84@@38.28,74.86 ± 1.78 / 55.80 ± 3.95@@74.86,65.01 ± 0.53 / 12.69 ± 0.82@@65.01,63.40 ± 1.13 / 72.35 ± 0.86@@63.40,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07#minimal (zero-shot, val)</a>",🤔,1.59@@1.59,?,100256.0,272000.0,✓,✗,90.25 ± 1.13 / 94.98 ± 0.58@@90.25,64.81 ± 1.45 / 39.11 ± 2.53@@64.81,48.36 ± 1.45 / 73.81 ± 0.71@@48.36,60.87 ± 0.62 / 41.63 ± 1.15@@60.87,63.22 ± 0.13 / 8.08 ± 0.22@@63.22,82.09 ± 1.62 / 86.60 ± 1.21@@82.09,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500
