<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=12 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=13 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=14 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,<a href='https://euroeval.com/datasets/serbian#mms-sr'>mms_sr</a>,<a href='https://euroeval.com/datasets/serbian#uner-sr'>uner_sr</a>,<a href='https://euroeval.com/datasets/serbian#scala-sr'>scala_sr</a>,<a href='https://euroeval.com/datasets/serbian#multi-wiki-qa-sr'>multi_wiki_qa_sr</a>,<a href='https://euroeval.com/datasets/serbian#lr-sum-sr'>lr_sum_sr</a>,<a href='https://euroeval.com/datasets/serbian#mmlu-sr'>mmlu_sr</a>,<a href='https://euroeval.com/datasets/serbian#winogrande-sr'>winogrande_sr</a>,mms_sr_version,uner_sr_version,scala_sr_version,multi_wiki_qa_sr_version,lr_sum_sr_version,mmlu_sr_version,winogrande_sr_version
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,1.20@@1.20,?,100256.0,272000,✓,✗,47.27 ± 2.78 / 59.19 ± 2.19@@47.27,87.13 ± 1.01 / 87.13 ± 1.01@@87.13,72.57 ± 3.28 / 86.08 ± 1.67@@72.57,62.03 ± 0.90 / 39.96 ± 0.78@@62.03,62.19 ± 0.13 / 8.85 ± 0.16@@62.19,90.17 ± 1.98 / 92.66 ± 1.47@@90.17,74.27 ± 5.43 / 87.81 ± 2.49@@74.27,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.21@@1.21,?,?,200000,✓,✗,48.01 ± 3.41 / 59.39 ± 2.54@@48.01,87.60 ± 0.98 / 87.60 ± 0.98@@87.60,66.43 ± 2.41 / 82.84 ± 1.25@@66.43,62.12 ± 1.35 / 36.05 ± 1.47@@62.12,62.22 ± 0.14 / 9.02 ± 0.11@@62.22,91.40 ± 1.56 / 93.55 ± 1.17@@91.40,78.70 ± 2.93 / 89.69 ± 1.46@@78.70,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#thinking (zero-shot, val)</a>",🤔,1.29@@1.29,?,256128.0,1048576,✓,✗,44.43 ± 3.58 / 55.67 ± 2.75@@44.43,84.58 ± 1.16 / 84.58 ± 1.16@@84.58,74.36 ± 2.77 / 86.94 ± 1.41@@74.36,63.24 ± 1.00 / 42.14 ± 1.09@@63.24,62.38 ± 0.16 / 8.26 ± 0.15@@62.38,86.15 ± 1.71 / 89.57 ± 1.31@@86.15,67.23 ± 4.04 / 84.53 ± 1.77@@67.23,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro'>gemini/gemini-2.5-pro (zero-shot, val)</a>",🤔,1.34@@1.34,?,256128.0,1048576,✓,✗,49.53 ± 3.41 / 62.84 ± 2.54@@49.53,79.28 ± 1.31 / 79.28 ± 1.31@@79.28,71.60 ± 3.41 / 85.27 ± 1.78@@71.60,60.55 ± 1.16 / 31.32 ± 0.93@@60.55,62.03 ± 0.13 / 8.87 ± 0.19@@62.03,88.20 ± 1.75 / 91.13 ± 1.32@@88.20,67.99 ± 4.26 / 84.77 ± 1.98@@67.99,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,1.41@@1.41,?,100256.0,272000,✓,✗,46.86 ± 3.31 / 56.89 ± 2.34@@46.86,73.15 ± 1.45 / 73.15 ± 1.45@@73.15,67.09 ± 2.94 / 82.69 ± 1.46@@67.09,65.59 ± 0.54 / 41.22 ± 0.95@@65.59,62.32 ± 0.18 / 8.60 ± 0.17@@62.32,84.32 ± 2.66 / 88.20 ± 2.03@@84.32,64.33 ± 3.53 / 82.89 ± 1.52@@64.33,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,1.59@@1.59,32759790592.0,151665.0,131072,✓,✗,49.69 ± 1.32 / 65.31 ± 1.02@@49.69,82.11 ± 0.96 / 82.11 ± 0.96@@82.11,51.67 ± 1.61 / 75.71 ± 0.81@@51.67,65.23 ± 1.65 / 43.11 ± 1.90@@65.23,62.69 ± 0.12 / 10.50 ± 0.38@@62.69,69.67 ± 1.00 / 77.24 ± 0.76@@69.67,48.45 ± 0.93 / 74.23 ± 0.47@@48.45,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.59@@1.59,?,?,1047576,✓,✗,43.97 ± 2.43 / 59.08 ± 1.87@@43.97,67.42 ± 1.49 / 67.42 ± 1.49@@67.42,67.60 ± 2.49 / 81.29 ± 1.55@@67.60,58.47 ± 1.10 / 30.82 ± 0.92@@58.47,62.91 ± 0.17 / 9.97 ± 0.20@@62.91,73.11 ± 2.83 / 79.73 ± 2.11@@73.11,57.80 ± 5.30 / 79.84 ± 2.46@@57.80,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#no-thinking (zero-shot, val)</a>",📝,1.60@@1.60,?,256128.0,1048576,✓,✗,45.56 ± 3.66 / 56.89 ± 2.41@@45.56,77.93 ± 1.79 / 77.93 ± 1.79@@77.93,66.50 ± 2.67 / 82.83 ± 1.55@@66.50,60.59 ± 1.12 / 36.77 ± 0.89@@60.59,62.45 ± 0.15 / 9.63 ± 0.20@@62.45,74.12 ± 2.09 / 80.55 ± 1.58@@74.12,47.08 ± 3.54 / 74.92 ± 1.49@@47.08,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.60@@1.60,?,256128.0,1048576,✓,✗,42.64 ± 3.40 / 56.84 ± 2.19@@42.64,77.01 ± 0.81 / 77.01 ± 0.81@@77.01,65.39 ± 3.10 / 82.63 ± 1.55@@65.39,62.98 ± 0.68 / 36.04 ± 1.46@@62.98,62.31 ± 0.14 / 8.48 ± 0.20@@62.31,80.19 ± 1.57 / 85.16 ± 1.16@@80.19,45.79 ± 5.83 / 74.53 ± 2.67@@45.79,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
