<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,<a id=9 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=10 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=11 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=12 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=13 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=14 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=15 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
Model,Type,Rank,"<a href=""https://euroeval.com/tasks/european-values"">European Values</a>",Parameters,Vocabulary,Context,Commercial,Merge,<a href='https://euroeval.com/datasets/portuguese#sst2-pt'>sst2_pt</a>,<a href='https://euroeval.com/datasets/portuguese#harem'>harem</a>,<a href='https://euroeval.com/datasets/portuguese#scala-pt'>scala_pt</a>,<a href='https://euroeval.com/datasets/portuguese#multi-wiki-qa-pt'>multi_wiki_qa_pt</a>,<a href='https://euroeval.com/datasets/portuguese#publico'>publico</a>,<a href='https://euroeval.com/datasets/portuguese#mmlu-pt'>mmlu_pt</a>,<a href='https://euroeval.com/datasets/portuguese#goldenswag-pt'>goldenswag_pt</a>,sst2_pt_version,harem_version,scala_pt_version,multi_wiki_qa_pt_version,publico_version,mmlu_pt_version,goldenswag_pt_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.44@@1.44,0.24,?,256128.0,1048576.0,✓,✗,90.88 ± 1.43 / 95.41 ± 0.71@@90.88,39.90 ± 1.94 / 29.91 ± 2.16@@39.90,74.07 ± 1.64 / 86.85 ± 0.78@@74.07,67.28 ± 0.98 / 36.05 ± 1.33@@67.28,64.46 ± 0.29 / 16.37 ± 0.17@@64.46,90.72 ± 1.12 / 93.05 ± 0.84@@90.72,98.75 ± 0.59 / 99.06 ± 0.44@@98.75,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.46@@1.46,14.14,?,256128.0,1048576.0,✓,✗,88.38 ± 1.69 / 94.12 ± 0.86@@88.38,45.28 ± 2.19 / 35.48 ± 1.74@@45.28,71.42 ± 2.41 / 85.35 ± 1.18@@71.42,65.47 ± 0.88 / 33.85 ± 1.12@@65.47,64.19 ± 0.28 / 17.14 ± 0.19@@64.19,89.36 ± 1.79 / 92.03 ± 1.33@@89.36,95.25 ± 1.01 / 96.41 ± 0.78@@95.25,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.55@@1.55,?,?,256128.0,1048576.0,✓,✗,92.35 ± 1.46 / 96.16 ± 0.73@@92.35,36.98 ± 1.80 / 28.38 ± 1.61@@36.98,68.66 ± 1.62 / 82.80 ± 1.11@@68.66,65.47 ± 0.88 / 33.85 ± 1.12@@65.47,64.21 ± 0.28 / 16.28 ± 0.21@@64.21,89.12 ± 1.62 / 91.84 ± 1.21@@89.12,97.71 ± 0.57 / 98.28 ± 0.43@@97.71,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.58@@1.58,?,?,?,?,✓,✗,81.41 ± 1.82 / 90.48 ± 0.95@@81.41,40.58 ± 1.90 / 30.72 ± 1.33@@40.58,71.49 ± 1.23 / 85.61 ± 0.63@@71.49,69.98 ± 1.14 / 40.21 ± 1.50@@69.98,64.52 ± 0.13 / 16.02 ± 0.17@@64.52,80.95 ± 1.19 / 85.66 ± 0.93@@80.95,90.82 ± 1.77 / 93.12 ± 1.32@@90.82,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Thinking-2507-FP8'>Qwen/Qwen3-235B-A22B-Thinking-2507-FP8</a>,🤔,1.61@@1.61,?,235107904512.0,151936.0,262144.0,✓,✗,84.24 ± 0.77 / 92.08 ± 0.39@@84.24,64.60 ± 2.16 / 53.97 ± 2.85@@64.60,45.31 ± 1.71 / 67.04 ± 1.16@@45.31,71.92 ± 0.35 / 49.47 ± 0.85@@71.92,64.45 ± 0.08 / 15.84 ± 0.31@@64.45,85.78 ± 0.62 / 89.33 ± 0.46@@85.78,91.30 ± 0.73 / 93.46 ± 0.55@@91.30,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,1.62@@1.62,N/A@@0,24011361280.0,131072.0,8192.0,✓,✗,84.84 ± 0.78 / 92.38 ± 0.40@@84.84,59.54 ± 2.64 / 54.86 ± 2.28@@59.54,57.82 ± 1.29 / 77.81 ± 0.88@@57.82,78.99 ± 1.56 / 61.43 ± 2.30@@78.99,63.55 ± 0.74 / 18.99 ± 0.97@@63.55,68.73 ± 0.81 / 76.48 ± 0.62@@68.73,78.53 ± 2.95 / 83.48 ± 2.44@@78.53,16.5.0.dev0@@160500,15.13.0@@151300,16.5.0.dev0@@160500,15.13.0@@151300,15.13.0@@151300,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,1.66@@1.66,N/A@@0,70553706496.0,128256.0,131072.0,✓,✗,85.80 ± 0.53 / 92.85 ± 0.29@@85.80,61.10 ± 2.01 / 55.09 ± 1.43@@61.10,57.59 ± 2.45 / 78.00 ± 1.44@@57.59,78.69 ± 1.54 / 60.64 ± 1.91@@78.69,64.36 ± 0.69 / 19.55 ± 1.14@@64.36,63.34 ± 1.11 / 72.35 ± 0.83@@63.34,68.94 ± 4.12 / 75.32 ± 3.63@@68.94,16.5.0.dev0@@160500,15.13.0@@151300,16.5.0.dev0@@160500,15.13.0@@151300,15.13.0@@151300,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,1.77@@1.77,N/A@@0,27432406640.0,262144.0,8192.0,✓,✗,83.98 ± 0.88 / 91.95 ± 0.47@@83.98,50.58 ± 1.74 / 45.52 ± 2.17@@50.58,55.59 ± 3.02 / 76.75 ± 2.79@@55.59,76.95 ± 1.23 / 58.29 ± 1.59@@76.95,65.34 ± 0.78 / 20.55 ± 0.85@@65.34,63.95 ± 0.94 / 72.93 ± 0.70@@63.95,68.38 ± 2.94 / 75.24 ± 2.56@@68.38,16.5.0.dev0@@160500,15.13.0@@151300,16.5.0.dev0@@160500,15.13.0@@151300,15.13.0@@151300,16.5.0.dev0@@160500,16.5.0.dev0@@160500
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.82@@1.82,?,?,?,?,✓,✗,88.86 ± 1.43 / 94.36 ± 0.75@@88.86,61.29 ± 3.58 / 51.52 ± 4.10@@61.29,24.00 ± 3.18 / 46.68 ± 1.86@@24.00,71.79 ± 0.81 / 47.05 ± 1.26@@71.79,63.76 ± 0.13 / 16.36 ± 0.20@@63.76,89.64 ± 1.49 / 92.23 ± 1.12@@89.64,98.45 ± 0.61 / 98.83 ± 0.47@@98.45,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
