<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,<a href='https://euroeval.com/datasets/estonian#estonian-valence'>estonian_valence</a>,<a href='https://euroeval.com/datasets/estonian#estner'>estner</a>,<a href='https://euroeval.com/datasets/estonian#grammar-et'>grammar_et</a>,<a href='https://euroeval.com/datasets/estonian#multi-wiki-qa-et'>multi_wiki_qa_et</a>,estonian_valence_version,estner_version,grammar_et_version,multi_wiki_qa_et_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.38@@1.38,?,256128.0,1048576.0,✓,✗,66.82 ± 2.09 / 74.17 ± 1.77@@66.82,55.72 ± 3.78 / 52.06 ± 3.24@@55.72,64.83 ± 2.15 / 82.06 ± 1.03@@64.83,62.95 ± 1.67 / 32.44 ± 2.14@@62.95,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.43@@1.43,?,256128.0,1048576.0,✓,✗,63.19 ± 1.98 / 71.62 ± 1.44@@63.19,54.18 ± 3.87 / 49.44 ± 3.39@@54.18,62.63 ± 2.55 / 80.24 ± 1.28@@62.63,66.26 ± 1.70 / 37.07 ± 2.37@@66.26,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro'>gemini/gemini-2.5-pro (zero-shot, val)</a>",🤔,1.48@@1.48,?,256128.0,1048576.0,✓,✗,64.76 ± 1.91 / 72.74 ± 1.78@@64.76,50.18 ± 3.66 / 38.77 ± 2.67@@50.18,61.06 ± 1.94 / 79.75 ± 0.95@@61.06,65.25 ± 1.29 / 31.59 ± 1.46@@65.25,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.50@@1.50,?,256128.0,1048576.0,✓,✗,61.21 ± 1.77 / 70.28 ± 1.78@@61.21,52.88 ± 3.76 / 42.10 ± 2.32@@52.88,66.32 ± 1.93 / 83.11 ± 0.97@@66.32,60.87 ± 1.53 / 27.96 ± 2.06@@60.87,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (zero-shot, val)</a>",🤔,1.53@@1.53,?,256128.0,1048576.0,✓,✗,67.41 ± 1.52 / 75.42 ± 1.11@@67.41,52.74 ± 2.02 / 37.28 ± 1.25@@52.74,58.70 ± 1.14 / 78.29 ± 0.60@@58.70,62.75 ± 0.78 / 31.65 ± 0.77@@62.75,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,1.53@@1.53,?,100256.0,272000.0,✓,✗,65.74 ± 2.38 / 74.14 ± 1.99@@65.74,56.40 ± 3.32 / 51.89 ± 2.93@@56.40,55.20 ± 2.41 / 77.22 ± 1.25@@55.20,62.42 ± 1.44 / 34.97 ± 1.63@@62.42,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot, val)</a>",🤔,1.58@@1.58,?,?,400000.0,✓,✗,57.70 ± 1.09 / 68.03 ± 0.91@@57.70,57.99 ± 1.66 / 56.85 ± 1.72@@57.99,53.72 ± 1.56 / 76.79 ± 0.77@@53.72,64.12 ± 0.72 / 36.93 ± 0.84@@64.12,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium (zero-shot, val)</a>",🤔,1.61@@1.61,?,?,400000.0,✓,✗,60.18 ± 1.22 / 69.46 ± 1.03@@60.18,55.82 ± 1.77 / 51.77 ± 1.54@@55.82,49.33 ± 2.04 / 74.43 ± 1.02@@49.33,65.30 ± 0.60 / 36.49 ± 0.54@@65.30,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-6 (zero-shot, val)</a>",🤔,1.62@@1.62,?,?,?,✓,✗,63.92 ± 1.05 / 73.04 ± 0.85@@63.92,52.73 ± 1.89 / 44.97 ± 1.53@@52.73,52.96 ± 1.05 / 74.14 ± 0.58@@52.96,65.05 ± 0.69 / 32.79 ± 0.69@@65.05,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
